country,date_joined
Albania,2016
Algeria,2016
Argentina,2011
Armenia,2016
Australia,2015
Austria,2014
Azerbaijan,2016
Bahamas,2011
Bangladesh,2016
Belarus,2016
Belgium,2014
Bolivia,2011
Brazil,2011
Bulgaria,2016
Cambodia,2016
Canada,2010
Chile,2011
Colombia,2011
Costa Rica,2011
Croatia,2016
Cyprus,2016
Czech Republic,2016
Denmark,2012
Dominican Republic,2011
Ecuador,2011
Egypt,2016
El Salvador,2011
Estonia,2016
Finland,2012
France,2014
Georgia,2016
Germany,2014
Greece,2016
Guatemala,2011
Hong Kong,2016
Hungary,2016
Iceland,2016
India,2014
Indonesia,2016
Ireland,2012
Isle of Man,2012
Israel,2016
Italy,2015
Jamaica,2011
Japan,2015
Jordan,2016
Kazakhstan,2016
Kenya,2016
Kyrgyzstan,2016
Laos,2016
Latvia,2016
Lithuania,2016
Luxembourg,2014
Malaysia,2016
Mexico,2011
Moldova,2016
Mongolia,2016
Morocco,2016
Nepal,2016
Netherlands,2013
New Zealand,2015
Nigeria,2016
Norway,2012
Oman,2016
Pakistan,2016
Panama,2011
Peru,2011
Philippines,2016
Poland,2016
Portugal,2015
Qatar,2016
Romania,2016
Russia,2016
Saudi Arabia,2016
Serbia,2016
Singapore,2016
Slovakia,2016
Slovenia,2016
South Africa,2016
South Korea,2016
Spain,2015
Sri Lanka,2016
Sweden,2012
Switzerland,2014
Taiwan,2016
Tajikistan,2016
Thailand,2016
Togo,2016
Tunisia,2016
Turkey,2016
Turkmenistan,2016
USA,2007
Ukraine,2016
United Arab Emirates,2016
United Kingdom,2012
Uruguay,2011
Uzbekistan,2016
Venezuela,2011
Vietnam,2016
Zimbabwe,2016